match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Cronobacter muytjensii,species,413501,36,,,,
Streptococcus thermophilus,species,1308,36,,,,
Alcaligenes,genus,,36,,,,
Mycobacterium bovis,species,1765,35,,,,
Porphyromonas gingivalis,species,837,34,,,,
Clostridium perfringens,species,1502,34,,,,
Staphylococcus sciuri,species,1279,34,,,,
Porphyromonas,genus,,34,,,,
Streptococcus salivarius,species,1304,33,,,,
Zymomonas mobilis,species,542,33,,,,
Burkholderia cenocepacia,species,95486,33,,,,
Pediococcus,genus,,33,,,,
Zymomonas,genus,,33,,,,
Pseudomonas stutzeri,species,286,32,,,,
Streptococcus dysgalactiae,species,1334,31,,,,
Enterococcus sp.,species,35783,31,,,,
Spiroplasma,genus,,31,,,,
Latilactobacillus,genus,,31,,,,
Kocuria rhizophila,species,72000,30,,,,
Lactococcus garvieae,species,1363,30,,,,
Vibrio fluvialis,species,676,30,,,,
Kocuria,genus,,30,,,,
Carnobacterium,genus,,30,,,,
Acinetobacter sp.,species,472,29,,,,
Latilactobacillus sakei,species,1599,29,,,,
Streptococcus equinus,species,1335,28,,,,
Lacticaseibacillus casei,species,1582,27,,,,
Morganella morganii,species,582,27,,,,
Morganella,genus,,27,,,,
Lactobacillus acidophilus,species,1579,26,,,,
Rhodococcus rhodochrous,species,1829,26,,,,
Francisella tularensis,species,263,26,,,,
Francisella,genus,,26,,,,
Acinetobacter junii,species,40215,25,,,,
Shigella boydii,species,621,25,,,,
Actinomyces,genus,,25,,,,
Photobacterium,genus,,25,,,,
Listeria grayi,species,1641,24,,,,
Alkalihalobacillus,genus,,24,,,,
Bibersteinia trehalosi,species,47735,23,,,,
Corynebacterium pseudotuberculosis,species,1719,23,,,,
Alkalihalobacillus alcalophilus,species,1445,23,,,,
Bibersteinia,genus,,23,,,,
Corynebacterium diphtheriae,species,1717,22,,,,
Aeromonas veronii,species,654,22,,,,
Vibrio splendidus,species,29497,22,,,,
Brucella abortus,species,235,22,,,,
Enterococcus gallinarum,species,1353,22,,,,
Streptococcus Sc181,species,1301,22,,,,
Ralstonia,genus,,22,,,,
Citrobacter sp.,species,1896336,21,,,,
Streptococcus equi,species,1336,21,,,,
Legionella pneumophila,species,446,21,,,,
Mycobacterium abscessus,species,36809,21,,,,
